C00C  10 FB     BPL $C009                       f0      c446         i127         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:315 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c449         i128         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:324 SL:2   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c453         i129         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:336 SL:2   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c456         i130         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:  4 SL:3   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c460         i131         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 16 SL:3   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c463         i132         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 25 SL:3   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c467         i133         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 37 SL:3   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c470         i134         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 46 SL:3   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c474         i135         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 58 SL:3   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c477         i136         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 67 SL:3   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c481         i137         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 79 SL:3   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c484         i138         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 88 SL:3   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c488         i139         A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:100 SL:3   2002:00 2004:00 2007:00 
