Opcode: PLP 28 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC839 P: 0x6D CYC: 288, PPU: cycle 182, scanline 2
Opcode: BEQ F0 9 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC83A P: 0x24 CYC: 292, PPU: cycle 194, scanline 2
Opcode: BMI 30 7 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC83C P: 0x24 CYC: 294, PPU: cycle 200, scanline 2
Opcode: BVS 70 5 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC83E P: 0x24 CYC: 296, PPU: cycle 206, scanline 2
Opcode: BCS B0 3 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC840 P: 0x24 CYC: 298, PPU: cycle 212, scanline 2
Opcode: JMP 4C 49 C8 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC842 P: 0x24 CYC: 300, PPU: cycle 218, scanline 2
Opcode: NOP EA A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC849 P: 0x24 CYC: 303, PPU: cycle 227, scanline 2
Opcode: SED F8 A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC84A P: 0x24 CYC: 305, PPU: cycle 233, scanline 2
Opcode: LDA A9 FF A: 0x4 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC84B P: 0x2C CYC: 307, PPU: cycle 239, scanline 2
Opcode: STA 85 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC84D P: 0xAC CYC: 309, PPU: cycle 245, scanline 2
Opcode: BIT 24 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC84F P: 0xAC CYC: 312, PPU: cycle 254, scanline 2
Opcode: CLC 18 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC851 P: 0xEC CYC: 315, PPU: cycle 263, scanline 2
Opcode: LDA A9 0 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC852 P: 0xEC CYC: 317, PPU: cycle 269, scanline 2
Opcode: PHA 48 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC854 P: 0x6E CYC: 319, PPU: cycle 275, scanline 2
Opcode: LDA A9 FF A: 0x0 X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC855 P: 0x6E CYC: 322, PPU: cycle 284, scanline 2
Opcode: PLA 68 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC857 P: 0xEC CYC: 324, PPU: cycle 290, scanline 2
Opcode: BNE D0 9 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC858 P: 0x6E CYC: 328, PPU: cycle 302, scanline 2
Opcode: BMI 30 7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC85A P: 0x6E CYC: 330, PPU: cycle 308, scanline 2
Opcode: BVC 50 5 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC85C P: 0x6E CYC: 332, PPU: cycle 314, scanline 2
Opcode: BCS B0 3 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC85E P: 0x6E CYC: 334, PPU: cycle 320, scanline 2
Opcode: JMP 4C 67 C8 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC860 P: 0x6E CYC: 336, PPU: cycle 326, scanline 2
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC867 P: 0x6E CYC: 339, PPU: cycle 335, scanline 2
Opcode: LDA A9 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC868 P: 0x6E CYC: 341, PPU: cycle 0, scanline 3
Opcode: STA 85 1 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC86A P: 0x6E CYC: 343, PPU: cycle 6, scanline 3
Opcode: BIT 24 1 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC86C P: 0x6E CYC: 346, PPU: cycle 15, scanline 3
Opcode: SEC 38 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC86E P: 0x2E CYC: 349, PPU: cycle 24, scanline 3
Opcode: LDA A9 FF A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC86F P: 0x2F CYC: 351, PPU: cycle 30, scanline 3
Opcode: PHA 48 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC871 P: 0xAD CYC: 353, PPU: cycle 36, scanline 3
Opcode: LDA A9 0 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC872 P: 0xAD CYC: 356, PPU: cycle 45, scanline 3
Opcode: PLA 68 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFA PC: 0xC874 P: 0x2F CYC: 358, PPU: cycle 51, scanline 3
Opcode: BEQ F0 9 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC875 P: 0xAD CYC: 362, PPU: cycle 63, scanline 3
Opcode: BPL 10 7 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC877 P: 0xAD CYC: 364, PPU: cycle 69, scanline 3
Opcode: BVS 70 5 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC879 P: 0xAD CYC: 366, PPU: cycle 75, scanline 3
Opcode: BCC 90 3 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC87B P: 0xAD CYC: 368, PPU: cycle 81, scanline 3
Opcode: JMP 4C 84 C8 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC87D P: 0xAD CYC: 370, PPU: cycle 87, scanline 3
Opcode: RTS 60 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC884 P: 0xAD CYC: 373, PPU: cycle 96, scanline 3
Opcode: JSR 20 85 C8 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC603 P: 0xAD CYC: 379, PPU: cycle 114, scanline 3
Opcode: NOP EA A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC885 P: 0xAD CYC: 385, PPU: cycle 132, scanline 3
Opcode: CLC 18 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC886 P: 0xAD CYC: 387, PPU: cycle 138, scanline 3
Opcode: LDA A9 FF A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC887 P: 0xAC CYC: 389, PPU: cycle 144, scanline 3
Opcode: STA 85 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC889 P: 0xAC CYC: 391, PPU: cycle 150, scanline 3
Opcode: BIT 24 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC88B P: 0xAC CYC: 394, PPU: cycle 159, scanline 3
Opcode: LDA A9 55 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC88D P: 0xEC CYC: 397, PPU: cycle 168, scanline 3
Opcode: ORA 9 AA A: 0x55 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC88F P: 0x6C CYC: 399, PPU: cycle 174, scanline 3
Opcode: BCS B0 B A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC891 P: 0xEC CYC: 401, PPU: cycle 180, scanline 3
Opcode: BPL 10 9 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC893 P: 0xEC CYC: 403, PPU: cycle 186, scanline 3
Opcode: CMP C9 FF A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC895 P: 0xEC CYC: 405, PPU: cycle 192, scanline 3
Opcode: BNE D0 5 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC897 P: 0x6F CYC: 407, PPU: cycle 198, scanline 3
Opcode: BVC 50 3 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC899 P: 0x6F CYC: 409, PPU: cycle 204, scanline 3
Opcode: JMP 4C A2 C8 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC89B P: 0x6F CYC: 411, PPU: cycle 210, scanline 3
Opcode: NOP EA A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8A2 P: 0x6F CYC: 414, PPU: cycle 219, scanline 3
Opcode: SEC 38 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8A3 P: 0x6F CYC: 416, PPU: cycle 225, scanline 3
Opcode: CLV B8 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8A4 P: 0x6F CYC: 418, PPU: cycle 231, scanline 3
Opcode: LDA A9 0 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8A5 P: 0x2F CYC: 420, PPU: cycle 237, scanline 3
Opcode: ORA 9 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8A7 P: 0x2F CYC: 422, PPU: cycle 243, scanline 3
Opcode: BNE D0 9 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8A9 P: 0x2F CYC: 424, PPU: cycle 249, scanline 3
Opcode: BVS 70 7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8AB P: 0x2F CYC: 426, PPU: cycle 255, scanline 3
Opcode: BCC 90 5 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8AD P: 0x2F CYC: 428, PPU: cycle 261, scanline 3
Opcode: BMI 30 3 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC8AF P: 0x2F CYC: 430, PPU: cycle 267, scanline 3
